French Sentence,English Translation,POS Sequence,Dependency Sequence,Valence,Relative Position
"La vie est une danse de l'existence, de la joie et de l'amour.","Life is a dance of existence, joy, and love.",DET NOUN AUX DET NOUN ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-danse,danse-det-une,danse-nmod-existence,existence-conj-joie,joie-conj-amour,existence-det-l',existence-case-de l',joie-det-la,joie-case-de la,amour-det-l',amour-case-de l',vie-det-la",0.9,2
"Nous sommes comblés par la joie de vivre, de partager et de sourire.","We are filled with the joy of living, sharing, and smiling.",PRON AUX VERB ADP DET NOUN ADP VERB PUNCT ADP VERB CCONJ ADP VERB PUNCT,"sommes-nsubj-nous,sommes-cop-sommes,sommes-amod-comblés,comblés-obl-joie,joie-det-la,joie-nmod-vivre,vivre-conj-partager,partager-conj-sourire,vivre-case-de,partager-case-de,sourire-case-de,joie-case-par la",0.9,2
"Le bonheur est une lumière qui brille en nous, autour de nous et pour nous.","Happiness is a light that shines within us, around us, and for us.",DET NOUN AUX DET NOUN PRON VERB ADP PRON PUNCT ADV ADP PRON CCONJ ADP PRON PUNCT,"est-nsubj-bonheur,est-cop-est,est-obj-lumière,lumière-det-une,brille-nsubj-qui,brille-obl-nous,brille-obl-nous,brille-obl-nous,nous-case-en,nous-case-autour de,nous-case-pour,bonheur-det-le",0.9,2
"Elle danse avec son cœur, son âme et son esprit.","She dances with her heart, soul, and spirit.",PRON VERB ADP DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"danse-nsubj-elle,danse-obl-cœur,cœur-det-son,cœur-conj-âme,âme-det-son,âme-conj-esprit,esprit-det-son,cœur-case-avec son",0.9,2
"Les rires sont le plus beau des cadeaux, des bénédictions et des surprises.","Laughter is the most beautiful gift, blessing, and surprise.",DET NOUN AUX DET ADJ ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"sont-nsubj-rires,sont-cop-sont,sont-obj-cadeaux,cadeaux-det-le plus beau,cadeaux-conj-bénédictions,bénédictions-conj-surprises,cadeaux-case-des,bénédictions-case-des,surprises-case-des,rires-det-les",0.9,2
"C'est un sentiment de bonheur infini, éternel et pur.","It's a feeling of infinite, eternal, and pure happiness.",PRON AUX DET NOUN ADP NOUN ADJ PUNCT ADJ CCONJ ADJ PUNCT,"est-nsubj-c',est-cop-est,est-obj-sentiment,sentiment-det-un,sentiment-nmod-bonheur,bonheur-amod-infini,infini-conj-éternel,éternel-conj-pur,bonheur-case-de",0.9,2
"La vie est un voyage de découverte, de croissance, de joie et d'amour.","Life is a journey of discovery, growth, joy, and love.",DET NOUN AUX DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-voyage,voyage-det-un,voyage-nmod-découverte,découverte-conj-croissance,croissance-conj-joie,joie-conj-amour,découverte-case-de,croissance-case-de,joie-case-de,amour-case-d',vie-det-la",0.9,2
"Nous sommes reconnaissants pour chaque instant de vie, de paix, de bonheur et d'amour.","We are grateful for every moment of life, peace, happiness, and love.",PRON AUX ADJ ADP DET NOUN ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"sommes-nsubj-nous,sommes-cop-sommes,sommes-amod-reconnaissants,reconnaissants-obl-moment,moment-det-chaque,moment-nmod-vie,vie-conj-paix,paix-conj-bonheur,bonheur-conj-amour,vie-case-de,paix-case-de,bonheur-case-de,amour-case-d',moment-case-pour",0.9,2
"Le bonheur est un art de vivre, de partager, de sourire et d'aimer.","Happiness is an art of living, sharing, smiling, and loving.",DET NOUN AUX DET NOUN ADP VERB PUNCT ADP VERB PUNCT ADP VERB CCONJ ADP VERB PUNCT,"est-nsubj-bonheur,est-cop-est,est-obj-art,art-det-un,art-nmod-vivre,vivre-conj-partager,partager-conj-sourire,sourire-conj-aimer,vivre-case-de,partager-case-de,sourire-case-de,aimer-case-d',bonheur-det-le",0.9,2
"Elle chante sa vie avec passion, joie, amour, liberté et espoir.","She sings her life with passion, joy, love, freedom, and hope.",PRON VERB DET NOUN ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN CCONJ NOUN PUNCT,"chante-nsubj-elle,chante-obj-vie,vie-det-sa,chante-obl-passion,passion-conj-joie,joie-conj-amour,amour-conj-liberté,liberté-conj-espoir,passion-case-avec",0.9,2
"Les oiseaux chantent la vie, l'espoir, la paix et l'amour.","Birds sing life, hope, peace, and love.",DET NOUN VERB DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"chantent-nsubj-oiseaux,chantent-obj-vie,vie-det-la,vie-conj-espoir,espoir-det-l',espoir-conj-paix,paix-det-la,paix-conj-amour,amour-det-l',oiseaux-det-les",0.9,2
"C'est un moment de pur enchantement, de paix, de bonheur, d'harmonie et d'amour.","It's a moment of pure enchantment, peace, happiness, harmony, and love.",PRON AUX DET NOUN ADP ADJ NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"est-nsubj-c',est-cop-est,est-obj-moment,moment-det-un,moment-nmod-enchantement,enchantement-amod-pur,enchantement-conj-paix,paix-conj-bonheur,bonheur-conj-harmonie,harmonie-conj-amour,enchantement-case-de,paix-case-de,bonheur-case-de,harmonie-case-d',amour-case-d',moment-det-un",0.9,2
"La vie est une symphonie d'harmonie, de joie, d'amour et de paix.","Life is a symphony of harmony, joy, love, and peace.",DET NOUN AUX DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-symphonie,symphonie-det-une,symphonie-nmod-harmonie,harmonie-conj-joie,joie-conj-amour,amour-conj-paix,harmonie-case-d',joie-case-de,amour-case-d',paix-case-de,vie-det-la",0.9,2
"Nous sommes remplis d'une joie profonde, durable, sincère, infinie et éternelle.","We are filled with a deep, lasting, sincere, infinite, and eternal joy.",PRON AUX VERB ADP DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT,"sommes-nsubj-nous,sommes-cop-sommes,sommes-amod-remplis,remplis-obl-joie,joie-det-une,joie-amod-profonde,profonde-conj-durable,durable-conj-sincère,sincère-conj-infinie,infinie-conj-éternelle,joie-case-d'une",0.9,2
"Le bonheur est une fleur qui s'épanouit à chaque instant de vie, de paix, de lumière et d'amour.","Happiness is a flower that blooms every moment of life, peace, light, and love.",DET NOUN AUX DET NOUN PRON VERB ADP DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"est-nsubj-bonheur,est-cop-est,est-obj-fleur,fleur-det-une,épanouit-nsubj-qui,épanouit-obj-s',épanouit-obl-instant,instant-det-chaque,instant-nmod-vie,vie-conj-paix,paix-conj-lumière,lumière-conj-amour,vie-case-de,paix-case-de,lumière-case-de,amour-case-d',instant-case-à chaque,bonheur-det-le",0.9,2
"Elle danse sous la pluie avec une joie immense, contagieuse, communicative et débordante.","She dances in the rain with immense, contagious, communicative, and overflowing joy.",PRON VERB ADP DET NOUN ADP DET NOUN ADJ PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT,"danse-nsubj-elle,danse-obl-pluie,pluie-det-la,danse-obl-joie,joie-det-une,joie-amod-immense,immense-conj-contagieuse,contagieuse-conj-communicative,communicative-conj-débordante,joie-case-avec une,pluie-case-sous la",0.9,2
"Les cœurs sont remplis de rires, de bonheur, de lumière, de tendresse et d'amour.","Hearts are filled with laughter, happiness, light, tenderness, and love.",DET NOUN AUX VERB ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"sont-nsubj-cœurs,sont-cop-sont,sont-amod-remplis,remplis-obl-rires,rires-conj-bonheur,bonheur-conj-lumière,lumière-conj-tendresse,tendresse-conj-amour,rires-case-de,bonheur-case-de,lumière-case-de,tendresse-case-de,amour-case-d',cœurs-det-les",0.9,2
"C'est une belle journée pour partager la joie, l'amour, la paix et le bonheur.","It's a beautiful day to share joy, love, peace, and happiness.",PRON AUX DET ADJ NOUN ADP VERB DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"est-nsubj-c',est-cop-est,est-obj-journée,journée-det-une,journée-amod-belle,journée-xcomp-partager,partager-obj-joie,joie-det-la,joie-conj-amour,amour-det-l',amour-conj-paix,paix-det-la,paix-conj-bonheur,bonheur-det-le,partager-case-pour",0.9,2
"La vie est un cadeau à offrir, à chérir, à célébrer et à savourer.","Life is a gift to offer, cherish, celebrate, and savor.",DET NOUN AUX DET NOUN ADP VERB PUNCT ADP VERB PUNCT ADP VERB CCONJ ADP VERB PUNCT,"est-nsubj-vie,est-cop-est,est-obj-cadeau,cadeau-det-un,cadeau-xcomp-offrir,offrir-conj-chérir,chérir-conj-célébrer,célébrer-conj-savourer,offrir-case-à,chérir-case-à,célébrer-case-à,savourer-case-à,vie-det-la",0.9,2
"Nous sommes reconnaissants pour l'amitié, l'amour, la vie, la paix et le bonheur.","We are grateful for friendship, love, life, peace, and happiness.",PRON AUX ADJ ADP DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"sommes-nsubj-nous,sommes-cop-sommes,sommes-amod-reconnaissants,reconnaissants-obl-amitié,amitié-det-l',amitié-conj-amour,amour-det-l',amour-conj-vie,vie-det-la,vie-conj-paix,paix-det-la,paix-conj-bonheur,bonheur-det-le,amitié-case-pour l'",0.9,2
"Le bonheur est un choix qui transforme la vie, l'âme, le monde et l'univers.","Happiness is a choice that transforms life, soul, world, and universe.",DET NOUN AUX DET NOUN PRON VERB DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"est-nsubj-bonheur,est-cop-est,est-obj-choix,choix-det-un,transforme-nsubj-qui,transforme-obj-vie,vie-det-la,vie-conj-âme,âme-det-l',âme-conj-monde,monde-det-le,monde-conj-univers,univers-det-l',bonheur-det-le",0.9,2
"Elle sourit avec le soleil, la lune, les étoiles, le cœur et l'âme.","She smiles with the sun, the moon, the stars, her heart, and her soul.",PRON VERB ADP DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"sourit-nsubj-elle,sourit-obl-soleil,soleil-det-le,soleil-conj-lune,lune-det-la,lune-conj-étoiles,étoiles-det-les,étoiles-conj-cœur,cœur-det-le,cœur-conj-âme,âme-det-l',soleil-case-avec le",0.9,2
"Les moments de rire sont une source de guérison, de bonheur, de lumière et de tendresse.","Moments of laughter are a source of healing, happiness, light, and tenderness.",DET NOUN ADP NOUN AUX DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"sont-nsubj-moments,moments-nmod-rire,rire-case-de,sont-cop-sont,sont-obj-source,source-det-une,source-nmod-guérison,guérison-conj-bonheur,bonheur-conj-lumière,lumière-conj-tendresse,guérison-case-de,bonheur-case-de,lumière-case-de,tendresse-case-de,moments-det-les",0.9,2
"C'est une douce sensation de liberté, de paix, de joie et d'amour.","It's a sweet feeling of freedom, peace, joy, and love.",PRON AUX DET ADJ NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"est-nsubj-c',est-cop-est,est-obj-sentiment,sentiment-det-un,sentiment-amod-douce,sentiment-nmod-liberté,liberté-conj-paix,paix-conj-joie,joie-conj-amour,liberté-case-de,paix-case-de,joie-case-de,amour-case-d',sentiment-det-un",0.9,2
"La vie est une danse de l'existence, de la joie, de l'amour et de la paix.","Life is a dance of existence, joy, love, and peace.",DET NOUN AUX DET NOUN ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-danse,danse-det-une,danse-nmod-existence,existence-conj-joie,joie-conj-amour,amour-conj-paix,existence-det-l',existence-case-de l',joie-det-la,joie-case-de la,amour-det-l',amour-case-de l',paix-det-la,paix-case-de la,vie-det-la",0.9,2
"Nous sommes comblés par la joie de vivre, de partager, de sourire et d'aimer.","We are filled with the joy of living, sharing, smiling, and loving.",PRON AUX VERB ADP DET NOUN ADP VERB PUNCT ADP VERB PUNCT ADP VERB CCONJ ADP VERB PUNCT,"sommes-nsubj-nous,sommes-cop-sommes,sommes-amod-comblés,comblés-obl-joie,joie-det-la,joie-nmod-vivre,vivre-conj-partager,partager-conj-sourire,sourire-conj-aimer,vivre-case-de,partager-case-de,sourire-case-de,aimer-case-d',joie-case-par la",0.9,2
"Le bonheur est une lumière qui brille en nous, autour de nous, pour nous et avec nous.","Happiness is a light that shines within us, around us, for us, and with us.",DET NOUN AUX DET NOUN PRON VERB ADP PRON PUNCT ADV ADP PRON PUNCT ADP PRON CCONJ ADP PRON PUNCT,"est-nsubj-bonheur,est-cop-est,est-obj-lumière,lumière-det-une,brille-nsubj-qui,brille-obl-nous,brille-obl-nous,brille-obl-nous,brille-obl-nous,nous-case-en,nous-case-autour de,nous-case-pour,nous-case-avec,bonheur-det-le",0.9,2
"Elle danse avec son cœur, son âme, son esprit et son corps.","She dances with her heart, soul, spirit, and body.",PRON VERB ADP DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"danse-nsubj-elle,danse-obl-cœur,cœur-det-son,cœur-conj-âme,âme-det-son,âme-conj-esprit,esprit-det-son,esprit-conj-corps,corps-det-son,cœur-case-avec son",0.9,2
"Les rires sont le plus beau des cadeaux, des bénédictions, des surprises et des miracles.","Laughter is the most beautiful gift, blessing, surprise, and miracle.",DET NOUN AUX DET ADJ ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"sont-nsubj-rires,sont-cop-sont,sont-obj-cadeaux,cadeaux-det-le plus beau,cadeaux-conj-bénédictions,bénédictions-conj-surprises,surprises-conj-miracles,cadeaux-case-des,bénédictions-case-des,surprises-case-des,miracles-case-des,rires-det-les",0.9,2
"C'est un sentiment de bonheur infini, éternel, pur et absolu.","It's a feeling of infinite, eternal, pure, and absolute happiness.",PRON AUX DET NOUN ADP NOUN ADJ PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT,"est-nsubj-c',est-cop-est,est-obj-sentiment,sentiment-det-un,sentiment-nmod-bonheur,bonheur-amod-infini,infini-conj-éternel,éternel-conj-pur,pur-conj-absolu,bonheur-case-de",0.9,2
"La vie est un voyage de découverte, de croissance, de joie, d'amour et de paix.","Life is a journey of discovery, growth, joy, love, and peace.",DET NOUN AUX DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-voyage,voyage-det-un,voyage-nmod-découverte,découverte-conj-croissance,croissance-conj-joie,joie-conj-amour,amour-conj-paix,découverte-case-de,croissance-case-de,joie-case-de,amour-case-d',paix-case-de,vie-det-la",0.9,2
"Nous sommes reconnaissants pour chaque instant de vie, de paix, de bonheur, d'amour et de liberté.","We are grateful for every moment of life, peace, happiness, love, and freedom.",PRON AUX ADJ ADP DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"sommes-nsubj-nous,sommes-cop-sommes,sommes-amod-reconnaissants,reconnaissants-obl-moment,moment-det-chaque,moment-nmod-vie,vie-conj-paix,paix-conj-bonheur,bonheur-conj-amour,amour-conj-liberté,vie-case-de,paix-case-de,bonheur-case-de,amour-case-d',liberté-case-de,moment-case-pour",0.9,2
"Le bonheur est un art de vivre, de partager, de sourire, d'aimer et de célébrer.","Happiness is an art of living, sharing, smiling, loving, and celebrating.",DET NOUN AUX DET NOUN ADP VERB PUNCT ADP VERB PUNCT ADP VERB PUNCT ADP VERB CCONJ ADP VERB PUNCT,"est-nsubj-bonheur,est-cop-est,est-obj-art,art-det-un,art-nmod-vivre,vivre-conj-partager,partager-conj-sourire,sourire-conj-aimer,aimer-conj-célébrer,vivre-case-de,partager-case-de,sourire-case-de,aimer-case-d',célébrer-case-de,bonheur-det-le",0.9,2
"Elle chante sa vie avec passion, joie, amour, liberté, espoir et gratitude.","She sings her life with passion, joy, love, freedom, hope, and gratitude.",PRON VERB DET NOUN ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN CCONJ NOUN PUNCT,"chante-nsubj-elle,chante-obj-vie,vie-det-sa,chante-obl-passion,passion-conj-joie,joie-conj-amour,amour-conj-liberté,liberté-conj-espoir,espoir-conj-gratitude,passion-case-avec",0.9,2
"Les oiseaux chantent la vie, l'espoir, la paix, l'amour et le bonheur.","Birds sing life, hope, peace, love, and happiness.",DET NOUN VERB DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"chantent-nsubj-oiseaux,chantent-obj-vie,vie-det-la,vie-conj-espoir,espoir-det-l',espoir-conj-paix,paix-det-la,paix-conj-amour,amour-det-l',amour-conj-bonheur,bonheur-det-le,oiseaux-det-les",0.9,2
"C'est un moment de pur enchantement, de paix, de bonheur, d'harmonie, d'amour et de liberté.","It's a moment of pure enchantment, peace, happiness, harmony, love, and freedom.",PRON AUX DET NOUN ADP ADJ NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"est-nsubj-c',est-cop-est,est-obj-moment,moment-det-un,moment-nmod-enchantement,enchantement-amod-pur,enchantement-conj-paix,paix-conj-bonheur,bonheur-conj-harmonie,harmonie-conj-amour,amour-conj-liberté,enchantement-case-de,paix-case-de,bonheur-case-de,harmonie-case-d',amour-case-d',liberté-case-de,moment-det-un",0.9,2
"La vie est une symphonie d'harmonie, de joie, d'amour, de paix et de liberté.","Life is a symphony of harmony, joy, love, peace, and freedom.",DET NOUN AUX DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-symphonie,symphonie-det-une,symphonie-nmod-harmonie,harmonie-conj-joie,joie-conj-amour,amour-conj-paix,paix-conj-liberté,harmonie-case-d',joie-case-de,amour-case-d',paix-case-de,liberté-case-de,vie-det-la",0.9,2
"Nous sommes remplis d'une joie profonde, durable, sincère, infinie, éternelle et absolue.","We are filled with a deep, lasting, sincere, infinite, eternal, and absolute joy.",PRON AUX VERB ADP DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT,"sommes-nsubj-nous,sommes-cop-sommes,sommes-amod-remplis,remplis-obl-joie,joie-det-une,joie-amod-profonde,profonde-conj-durable,durable-conj-sincère,sincère-conj-infinie,infinie-conj-éternelle,éternelle-conj-absolue,joie-case-d'une",0.9,2
"Le bonheur est une fleur qui s'épanouit à chaque instant de vie, de paix, de lumière, d'amour et de liberté.","Happiness is a flower that blooms every moment of life, peace, light, love, and freedom.",DET NOUN AUX DET NOUN PRON VERB ADP DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"est-nsubj-bonheur,est-cop-est,est-obj-fleur,fleur-det-une,épanouit-nsubj-qui,épanouit-obj-s',épanouit-obl-instant,instant-det-chaque,instant-nmod-vie,vie-conj-paix,paix-conj-lumière,lumière-conj-amour,amour-conj-liberté,vie-case-de,paix-case-de,lumière-case-de,amour-case-d',liberté-case-de,instant-case-à chaque,bonheur-det-le",0.9,2
"Elle danse sous la pluie avec une joie immense, contagieuse, communicative, débordante et pure.","She dances in the rain with immense, contagious, communicative, overflowing, and pure joy.",PRON VERB ADP DET NOUN ADP DET NOUN ADJ PUNCT ADJ PUNCT ADJ PUNCT ADJ CCONJ ADJ PUNCT,"danse-nsubj-elle,danse-obl-pluie,pluie-det-la,danse-obl-joie,joie-det-une,joie-amod-immense,immense-conj-contagieuse,contagieuse-conj-communicative,communicative-conj-débordante,débordante-conj-pure,joie-case-avec une,pluie-case-sous la",0.9,2
"Les cœurs sont remplis de rires, de bonheur, de lumière, de tendresse, d'amour et de paix.","Hearts are filled with laughter, happiness, light, tenderness, love, and peace.",DET NOUN AUX VERB ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"sont-nsubj-cœurs,sont-cop-sont,sont-amod-remplis,remplis-obl-rires,rires-conj-bonheur,bonheur-conj-lumière,lumière-conj-tendresse,tendresse-conj-amour,amour-conj-paix,rires-case-de,bonheur-case-de,lumière-case-de,tendresse-case-de,amour-case-d',paix-case-de,cœurs-det-les",0.9,2
"C'est une belle journée pour partager la joie, l'amour, la paix, le bonheur et la liberté.","It's a beautiful day to share joy, love, peace, happiness, and freedom.",PRON AUX DET ADJ NOUN ADP VERB DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"est-nsubj-c',est-cop-est,est-obj-journée,journée-det-une,journée-amod-belle,journée-xcomp-partager,partager-obj-joie,joie-det-la,joie-conj-amour,amour-det-l',amour-conj-paix,paix-det-la,paix-conj-bonheur,bonheur-det-le,bonheur-conj-liberté,liberté-det-la,partager-case-pour",0.9,2
"La vie est un cadeau à offrir, à chérir, à célébrer, à savourer et à partager.","Life is a gift to offer, cherish, celebrate, savor, and share.",DET NOUN AUX DET NOUN ADP VERB PUNCT ADP VERB PUNCT ADP VERB PUNCT ADP VERB CCONJ ADP VERB PUNCT,"est-nsubj-vie,est-cop-est,est-obj-cadeau,cadeau-det-un,cadeau-xcomp-offrir,offrir-conj-chérir,chérir-conj-célébrer,célébrer-conj-savourer,savourer-conj-partager,offrir-case-à,chérir-case-à,célébrer-case-à,savourer-case-à,partager-case-à,vie-det-la",0.9,2
"Nous sommes reconnaissants pour l'amitié, l'amour, la vie, la paix, le bonheur et la liberté.","We are grateful for friendship, love, life, peace, happiness, and freedom.",PRON AUX ADJ ADP DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"sommes-nsubj-nous,sommes-cop-sommes,sommes-amod-reconnaissants,reconnaissants-obl-amitié,amitié-det-l',amitié-conj-amour,amour-det-l',amour-conj-vie,vie-det-la,vie-conj-paix,paix-det-la,paix-conj-bonheur,bonheur-det-le,bonheur-conj-liberté,liberté-det-la,amitié-case-pour l'",0.9,2
"Le bonheur est un choix qui transforme la vie, l'âme, le monde, l'univers et l'existence.","Happiness is a choice that transforms life, soul, world, universe, and existence.",DET NOUN AUX DET NOUN PRON VERB DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"est-nsubj-bonheur,est-cop-est,est-obj-choix,choix-det-un,transforme-nsubj-qui,transforme-obj-vie,vie-det-la,vie-conj-âme,âme-det-l',âme-conj-monde,monde-det-le,monde-conj-univers,univers-det-l',univers-conj-existence,existence-det-l',bonheur-det-le",0.9,2
"Elle sourit avec le soleil, la lune, les étoiles, le cœur, l'âme et l'esprit.","She smiles with the sun, the moon, the stars, her heart, her soul, and her spirit.",PRON VERB ADP DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"sourit-nsubj-elle,sourit-obl-soleil,soleil-det-le,soleil-conj-lune,lune-det-la,lune-conj-étoiles,étoiles-det-les,étoiles-conj-cœur,cœur-det-le,cœur-conj-âme,âme-det-l',âme-conj-esprit,esprit-det-l',soleil-case-avec le",0.9,2
"Les moments de rire sont une source de guérison, de bonheur, de lumière, de tendresse et d'amour.","Moments of laughter are a source of healing, happiness, light, tenderness, and love.",DET NOUN ADP NOUN AUX DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"sont-nsubj-moments,moments-nmod-rire,rire-case-de,sont-cop-sont,sont-obj-source,source-det-une,source-nmod-guérison,guérison-conj-bonheur,bonheur-conj-lumière,lumière-conj-tendresse,tendresse-conj-amour,guérison-case-de,bonheur-case-de,lumière-case-de,tendresse-case-de,amour-case-d',moments-det-les",0.9,2
"C'est une douce sensation de liberté, de paix, de joie, d'amour et d'harmonie.","It's a sweet feeling of freedom, peace, joy, love, and harmony.",PRON AUX DET ADJ NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT,"est-nsubj-c',est-cop-est,est-obj-sentiment,sentiment-det-un,sentiment-amod-douce,sentiment-nmod-liberté,liberté-conj-paix,paix-conj-joie,joie-conj-amour,amour-conj-harmonie,liberté-case-de,paix-case-de,joie-case-de,amour-case-d',harmonie-case-d',sentiment-det-un",0.9,2
"La vie est une danse de l'existence, de la joie, de l'amour, de la paix et de la liberté.","Life is a dance of existence, joy, love, peace, and freedom.",DET NOUN AUX DET NOUN ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN PUNCT,"est-nsubj-vie,est-cop-est,est-obj-danse,danse-det-une,danse-nmod-existence,existence-conj-joie,joie-conj-amour,amour-conj-paix,paix-conj-liberté,existence-det-l',existence-case-de l',joie-det-la,joie-case-de la,amour-det-l',amour-case-de l',paix-det-la,paix-case-de la,liberté-det-la,liberté-case-de la,vie-det-la",0.9,2
"Nous sommes comblés par la joie de vivre, de partager, de sourire, d'aimer et de célébrer.","We are filled with the joy of living, sharing, smiling, loving, and celebrating.",PRON AUX VERB ADP DET NOUN ADP VERB PUNCT ADP VERB PUNCT ADP VERB PUNCT ADP VERB CCONJ ADP VERB PUNCT,"sommes-nsubj-nous,sommes-cop-sommes,sommes-amod-comblés,comblés-obl-joie,joie-det-la,joie-nmod-vivre,vivre-conj-partager,partager-conj-sourire,sourire-conj-aimer,aimer-conj-célébrer,vivre-case-de,partager-case-de,sourire-case-de,aimer-case-d',célébrer-case-de,joie-case-par la",0.9,2
"Le bonheur est une lumière qui brille en nous, autour de nous, pour nous, avec nous et partout.","Happiness is a light that shines within us, around us, for us, with us, and everywhere.",DET NOUN AUX DET NOUN PRON VERB ADP PRON PUNCT ADV ADP PRON PUNCT ADP PRON PUNCT ADP PRON CCONJ ADV PUNCT,"est-nsubj-bonheur,est-cop-est,est-obj-lumière,lumière-det-une,brille-nsubj-qui,brille-obl-nous,brille-obl-nous,brille-obl-nous,brille-obl-nous,brille-advmod-partout,nous-case-en,nous-case-autour de,nous-case-pour,nous-case-avec,bonheur-det-le",0.9,2
"Elle danse avec son cœur, son âme, son esprit, son corps et sa passion.","She dances with her heart, soul, spirit, body, and passion.",PRON VERB ADP DET NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT DET NOUN CCONJ DET NOUN PUNCT,"danse-nsubj-elle,danse-obl-cœur,cœur-det-son,cœur-conj-âme,âme-det-son,âme-conj-esprit,esprit-det-son,esprit-conj-corps,corps-det-son,corps-conj-passion,passion-det-sa,cœur-case-avec son",0.9,2
